Test,Year,Month,Days,Closed Equity,Total Equity,Total Equity Gain,Gain%,C Risk%,T Risk%,CE DD%,TE DD%,Trades
1,2007,1,31,100000,100000,0,0.00%,0.00%,0.00%,0.00%,0.00%,0
1,2007,2,28,99980.1,103283.45,3283.45,3.28%,4.26%,7.32%,0.02%,0.00%,0
1,2007,3,31,97690.72,98400.75,-4882.7,-4.73%,11.54%,12.18%,2.31%,4.73%,3
1,2007,4,30,97672.72,106703.63,8302.88,8.44%,1.61%,9.93%,2.33%,0.00%,1
1,2007,5,31,97335.86,106904.87,201.24,0.19%,0.00%,8.04%,2.66%,0.00%,1
1,2007,6,30,105121.99,107201.24,296.37,0.28%,1.78%,3.69%,0.00%,0.00%,2
1,2007,7,31,107787.49,108655.19,1453.95,1.36%,1.63%,2.42%,0.00%,0.00%,1
1,2007,8,31,108202.95,110439.86,1784.68,1.64%,14.85%,16.57%,0.00%,0.00%,1
1,2007,9,30,109013.19,118296.73,7856.86,7.11%,3.73%,11.28%,0.00%,0.00%,1
1,2007,10,31,116146.58,119529.51,1232.79,1.04%,0.26%,3.08%,0.00%,0.00%,4
1,2007,11,30,116488.93,119037.85,-491.66,-0.41%,0.35%,2.48%,0.00%,0.41%,1
1,2007,12,31,116296.67,120344.48,1306.62,1.10%,2.93%,6.20%,0.17%,0.00%,1
1,2008,1,31,116256.54,118968.56,-1375.91,-1.14%,1.34%,3.59%,0.20%,1.14%,2
1,2008,2,29,118429.25,119031.95,63.38,0.05%,0.27%,0.78%,0.00%,1.09%,1
1,2008,3,31,117407.86,117765.15,-1266.8,-1.06%,16.53%,16.79%,0.86%,2.14%,1
1,2008,4,30,118468.99,124745.43,6980.28,5.93%,7.96%,12.59%,0.00%,0.00%,4
1,2008,5,31,118398.78,130612.14,5866.71,4.70%,2.24%,11.38%,0.06%,0.00%,1
1,2008,6,30,127199.17,129311.19,-1300.95,-1.00%,2.10%,3.70%,0.00%,1.00%,3
1,2008,7,31,129380.7,131744.03,2432.84,1.88%,5.63%,7.32%,0.00%,0.00%,2
1,2008,8,31,132462.8,132122.74,378.71,0.29%,2.74%,2.49%,0.00%,0.00%,2
1,2008,9,30,130734.95,130961.54,-1161.2,-0.88%,1.62%,1.79%,1.30%,0.88%,2
1,2008,10,31,128324.66,126503.29,-4458.26,-3.40%,13.23%,11.98%,3.12%,4.25%,1
